Cod_Cli-Cod_cli,PROVINCIA,TOTAL_VOL,Uds_AH,Uds_DNT,Uds_VH,Resto_Farmacos,MUESTRA,"Facturacion estimada",Diferencia,"Cuota total mercado","Cuota actual","Cuota potencial",,,,
anon_S35,ALAVA,0,0,15,6,"65200,61175",0,"39842965,8894516","39908187,5012016","5,9442769477815525E-06","9,730583920343277E-09","5,934546363861209E-06",,,,
anon_S36,ALAVA,0,15000,9,17,"949983,1797",0,"27805599,741177335","28740608,920877334","4,148390609758297E-06","1,439722594247677E-07","4,004418350333529E-06",,,,
anon_S37,ALAVA,0,120000,164,152,"94543,00144",0,"371804132,8487247","371778991,8501647","5,547043716862727E-05","3,2055379933984496E-08","5,5438381788693284E-05",,,,
anon_S38,ALBACETE,0,60900,231,190,"5271363,53",0,"522961659,6275","528172544,15749997","7,802202643554552E-05","7,955972406628138E-07","7,72264291948827E-05",,,,
anon_S39,ALBACETE,0,113100,125,318,"9394530,651",0,"300141162,22846526","309423035,8794653","4,477884996476567E-05","1,4185345332540056E-06","4,3360315431511665E-05",,,,
anon_S40,ALBACETE,0,68700,152,153,"7178036,562",0,"350017764,34702325","357127405,9090232","5,222007151011026E-05","1,0812052048569106E-06","5,113886630525335E-05",,,,
anon_S41,ALBACETE,0,458800,594,1092,"33856139,19",0,"1374652835,3147209","1408051860,504721","0,00020508807458852348","5,119787633494983E-06","0,0001999682869550285",,,,
anon_S42,ALBACETE,0,43250,218,325,"11584510,45",0,"504757100,35151887","516298903,80151886","7,530604032273993E-05","1,734857197414203E-06","7,357118312532573E-05",,,,
anon_S43,ALBACETE,0,0,231,552,"22829442,34",0,"550603062,3403084","573433287,6803085","8,214592005847469E-05","3,4061014076552266E-06","7,873981865081946E-05",,,,
anon_S44,ALBACETE,0,266400,171,312,"13259776,27",0,"402618391,20970196","415612250,47970194","6,0067697476666625E-05","2,0180778986748107E-06","5,8049619577991816E-05",,,,
anon_S45,ALBACETE,0,106650,329,754,"52998247,06",0,"792402302,9129","845294982,9728999","0,00011822058517539238","7,92302094015496E-06","0,00011029756423523742",,,,
anon_S46,ALBACETE,0,85100,209,434,"15838457,98",0,"492805512,47811383","508559513,45811385","7,352295147131293E-05","2,3757734567223828E-06","7,114717801459055E-05",,,,
anon_S47,ALBACETE,0,66600,306,584,"21922712,06",0,"715199988,0195695","737056990,0795695","0,00010670256861987052","3,28077612356974E-06","0,00010342179249630077",,,,
anon_S48,ALBACETE,0,0,5,57,"4094095,576",0,"22871076,33041446","26965233,90641446","3,4121960744350154E-06","6,108181445911173E-07","2,801377929843898E-06",,,,
anon_S49,ALBACETE,0,0,32,266,0,0,"89002730,26819319","89003028,26819319","1,3278551584005137E-05","4,4459404336359366E-11","1,32785071246008E-05",,,,
anon_S50,ALBACETE,0,30825,13,39,"5045463,292",0,"40075471,45069533","45090161,74269533","5,978965064418423E-06","7,573525690972503E-07","5,221612495321172E-06",,,,
anon_S51,ALBACETE,0,18000,34,161,"8738730,135",0,"93850282,14871906","102571207,28371906","1,4001770607823187E-05","1,3064687091281654E-06","1,2695301898695021E-05",,,,
anon_S52,ALBACETE,0,3000,18,48,"5709332,318",0,"51813387,05448626","57519785,37248626","7,730175587556016E-06","8,522477401016817E-07","6,877927847454334E-06",,,,
anon_S53,ALBACETE,0,0,0,0,0,0,"6790675,477608653","6790675,477608653","1,013118747570481E-06",0,"1,013118747570481E-06",,,,
anon_S54,ALBACETE,0,2400,86,159,"3422908,301",0,"203964305,31266674","207385058,61366674","3,04299715438943E-05","5,110673130366092E-07","2,991890423085769E-05",,,,
anon_S55,ALBACETE,0,0,0,30,"2191682,892",0,"9534100,698529212","11725813,59052921","1,4224175769781091E-06","3,269874149484548E-07","1,0954301620296543E-06",,,,
anon_S56,ALBACETE,0,0,5,49,"3507470,639",0,"22138158,82694083","25645683,46594083","3,302850183052032E-06","5,232968327014897E-07","2,779553350350542E-06",,,,
anon_S57,ALBACETE,0,0,40,96,0,0,"98547110,06368358","98547246,06368358","1,4702502726513482E-05","2,0290197952164006E-11","1,4702482436315529E-05",,,,
anon_S58,ALBACETE,0,12900,10,52,"7180990,308",0,"35446479,64948588","42614631,95748588","5,288353594083982E-06","1,07328467932167E-06","4,215068914762312E-06",,,,
anon_S59,ALBACETE,0,0,58,145,"5752359,67",0,"143642813,8533489","149395376,5233489","2,1430449466840408E-05","8,582399654891846E-07","2,0572209501351223E-05",,,,
anon_S60,ALBACETE,0,99000,36,100,"13388209,11",0,"98232748,8232645","111522093,9332645","1,4655602345656193E-05","2,012212515669494E-06","1,2643389829986699E-05",,,,
anon_S61,ALBACETE,0,0,7,16,0,0,"22810813,0222575","22810836,0222575","3,403205232877979E-06","3,4314305360277364E-12","3,403201801447443E-06",,,,
anon_S62,ALBACETE,0,60000,30,42,"1263142,538",0,"74987869,13753651","76191083,67553651","1,1187637564791072E-05","1,974138596264797E-07","1,0990223705164591E-05",,,,
anon_S63,ALBACETE,0,30100,248,855,"17571481,51",0,"598572990,3715391","616115474,8815391","8,930267987836241E-05","2,6261908323337582E-06","8,667648904602866E-05",,,,
anon_S64,ALBACETE,0,45300,78,335,"14873678,79",0,"201736716,11765885","216565507,90765885","3,0097631648873624E-05","2,225863329007283E-06","2,787176831986634E-05",,,,
anon_S65,ALBACETE,0,69500,53,188,"8679394,874",0,"136532326,55121055","145142462,42521057","2,036961715142323E-05","1,305306608778231E-06","1,9064310542645E-05",,,,
anon_S66,ALBACETE,0,7500,3,10,"576994,1734",0,"14157356,325507777","14726863,498907777","2,112173252381427E-06","8,720416362313125E-08","2,0249690887582954E-06",,,,
anon_S67,ALBACETE,0,0,34,12,0,0,"81543894,68723094","81543940,68723094","1,2165748272017137E-05","6,862861072055473E-12","1,2165741409156065E-05",,,,
anon_S68,ALBACETE,0,3750,4,30,"5122448,056",0,"20064094,051422577","25182826,107422575","2,9934150002514733E-06","7,647960526835932E-07","2,22861894756788E-06",,,,
anon_S69,ALBACETE,"29506649,57",0,13,126,"1663768,905",1,"42046811,67880362","43710719,583803624","6,273074501619756E-06","2,482427997545625E-07","6,024831701865193E-06",,,,
anon_S70,ALBACETE,0,0,0,21,"107507,3564",0,"7834259,000746248","7941787,357146248","1,1688137201004703E-06","1,6042438506079716E-08","1,1527712815943907E-06",,,,
anon_S71,ALBACETE,0,0,24,2,"859044,3475",0,"59784417,95090094","60643488,29840094","8,919394666755054E-06","1,281669662177156E-07","8,791227700537339E-06",,,,
anon_S72,ALBACETE,0,163800,161,204,"2129020,31",0,"368928414,40905815","370893999,71905816","5,504140116571901E-05","3,4212635206540133E-07","5,469927481365361E-05",,,,
anon_S73,ALBACETE,0,130800,419,687,"29533680,74",0,"971260126,5692568","1000664113,3092568","0,00014490485464069183","4,425886965600674E-06","0,00014047896767509116",,,,
anon_S74,ALBACETE,0,251900,400,674,"41729896,41",0,"936688932,5097284","978168002,9197284","0,00013974708720752632","6,263534935433447E-06","0,00013348355227209288",,,,
anon_S75,ALBACETE,0,54000,82,323,"10792414,97",0,"207398625,641603","218137445,611603","3,0942346832903546E-05","1,6182656201675417E-06","2,9324081212736005E-05",,,,
anon_S76,ALBACETE,0,39300,55,173,"7787924,127",0,"139650608,3242274","147399460,4512274","2,0834841816461002E-05","1,1677981846905676E-06","1,9667043631770434E-05",,,,
anon_S77,ALBACETE,0,971850,231,340,"7160409,217",0,"531104863,9557753","537293994,1727753","7,923693252220453E-05","1,2133583456931687E-06","7,802357417651136E-05",,,,
anon_S78,ALBACETE,0,8100,11,21,"1927837,276",0,"32957159,98509829","34876929,26109829","4,916965441461639E-06","2,888323517599091E-07","4,62813308970173E-06",,,,
anon_S79,ALBACETE,0,19200,52,48,"3657576,872",0,"124747045,14738038","128385522,01938038","1,861133999991094E-05","5,485629380780411E-07","1,80627770618329E-05",,,,
anon_S80,ALBACETE,0,0,3,22,"1252089,372",0,"15130839,096140772","16382953,468140772","2,2574097091399893E-06","1,8680623872521706E-07","2,0706034704147724E-06",,,,
anon_S81,ALBACETE,0,29700,124,285,"1298254,218",0,"291447007,1658214","292715970,38382137","4,3481746087943216E-05","1,981820047470117E-07","4,32835640831962E-05",,,,
anon_S82,ALBACETE,0,47300,94,207,"2205907,093",0,"222908224,6378638","225067132,7308638","3,325626472843896E-05","3,362068036306883E-07","3,292005792480827E-05",,,,
anon_S83,ALBACETE,0,87000,54,102,"25495,06895",0,"129392802,59953555","129331453,66848555","1,930445278183719E-05","1,6806709474399827E-08","1,928764607236279E-05",,,,
anon_S84,ALBACETE,0,0,18,38,0,0,"47839020,73989963","47839076,73989963","7,1372294165459034E-06","8,354787392067532E-12","7,137221061758511E-06",,,,
anon_S85,ALBACETE,0,45300,15,0,0,0,"39523605,59124465","39478320,59124465","5,8966307443353684E-06","6,760664119134646E-09","5,889870080216234E-06",,,,
anon_S86,ALBACETE,0,54900,107,409,"3746985,026",0,"261626614,73833957","265319215,76433957","3,9032763254378376E-05","5,672902169930259E-07","3,846547303738535E-05",,,,
anon_S87,ALBACETE,0,4800,76,267,"807899,8516",0,"185562398,65072194","186365841,50232193","2,768454265515823E-05","1,2130000295996988E-07","2,756324265219826E-05",,,,
anon_S88,ALBACETE,0,26325,136,359,"7606340,299",0,"324954784,8551036","332535295,15410364","4,8480859633918516E-05","1,138811275494922E-06","4,734204835842359E-05",,,,
anon_S89,ALBACETE,0,207450,241,583,"16206337,4",0,"569797529,6237144","585797241,0237144","8,500959315234706E-05","2,4489390780429997E-06","8,256065407430406E-05",,,,
anon_S90,ALBACETE,0,0,0,54,0,0,"9304274,761821803","9304328,761821803","1,3881292405785882E-06","8,05640212806512E-12","1,3881211841764601E-06",,,,
anon_S91,ALBACETE,0,68400,46,262,"10711914,09",0,"125950682,29610232","136594504,38610232","1,8790913794103196E-05","1,6083893842174416E-06","1,7182524409885754E-05",,,,
anon_S92,ALBACETE,0,54750,30,103,"7893236,635",0,"81902079,12273408","89740698,75773409","1,2219186750691716E-05","1,1858008878061141E-06","1,1033385862885602E-05",,,,
anon_S93,ALBACETE,0,0,25,50,"1996497,147",0,"64899988,17647958","66896560,32347958","9,682600052896133E-06","2,9787385359122863E-07","9,384726199304904E-06",,,,
anon_S94,ALBACETE,0,12000,142,283,"1207225,343",0,"330577481,8126888","331773132,1556888","4,931972459196583E-05","1,819628447933436E-07","4,913776174717248E-05",,,,
anon_S95,ALBACETE,0,18000,34,279,"3098533,044",0,"95876566,75509062","98957412,79909062","1,430407734143129E-05","4,650104648469065E-07","1,3839066876584383E-05",,,,
anon_S96,ALBACETE,0,2400,0,38,"4825614,596",0,"11525267,596974697","16348520,192974698","1,7194850073108689E-06","7,20309874237495E-07","9,991751330733738E-07",,,,
anon_S97,ALBACETE,0,14700,13,32,"6044364,613",0,"40363546,89272972","46393256,50572972","6,021943797830444E-06","9,039745107472782E-07","5,117969287083166E-06",,,,
anon_S98,ALBACETE,0,0,0,0,0,0,"6790675,477608653","6790675,477608653","1,013118747570481E-06",0,"1,013118747570481E-06",,,,
anon_S99,ALBACETE,0,108725,95,261,"13164386,25",0,"234338964,8956387","247394982,1456387","3,4961646953218536E-05","1,980303514809309E-06","3,2981343438409224E-05",,,,
anon_S100,ALBACETE,0,0,104,280,"4175322,549",0,"249338570,2535951","253514276,8025951","3,7199477555551447E-05","6,229846505099826E-07","3,6576492905041466E-05",,,,
anon_S101,ALBACETE,0,431900,144,465,"15546297,15",0,"352226249,07130265","367341255,2213026","5,2549561158859954E-05","2,3839201457555562E-06","5,01656410131044E-05",,,,
anon_S102,ALBACETE,0,84600,172,355,"13902893,85",0,"407197408,45438784","421016229,30438787","6,0750853111380224E-05","2,086909647099246E-06","5,866394346428098E-05",,,,
anon_S103,ALBACETE,"323450170,8",5700,140,520,"17555794,79",1,"347292627,50033695","364843382,29033697","5,181350117138966E-05","2,6201440967326856E-06","4,9193357074656974E-05",,,,
anon_S104,ALBACETE,0,15300,61,545,"3598840,266",0,"167485127,46636632","171069273,73236632","2,4987546987764656E-05","5,392935094410712E-07","2,4448253478323584E-05",,,,
anon_S105,ALBACETE,0,0,17,30,0,0,"45284440,31984787","45284487,31984787","6,756104840019634E-06","7,012053704056679E-12","6,75609782796593E-06",,,,
anon_S106,ALBACETE,0,114900,315,1001,"29106715,3",0,"758665517,7971324","787658649,0971323","0,00011318730540871191","4,359846035437423E-06","0,00010882745937327449",,,,
anon_S107,ALBACETE,"126806078,1",50100,42,249,"6872066,968",1,"114256852,6719255","121079110,6399255","1,7046280574298582E-05","1,0327797241636398E-06","1,6013500850134943E-05",,,,
anon_S108,ALBACETE,0,0,127,141,0,0,"290492770,79295003","290493038,79295003","4,333938105192326E-05","3,998362537632319E-11","4,333934106829788E-05",,,,
anon_S109,ALBACETE,0,0,0,0,0,0,"6790675,477608653","6790675,477608653","1,013118747570481E-06",0,"1,013118747570481E-06",,,,
anon_S110,ALBACETE,0,42300,23,31,"27037867,36",0,"75041299,07239877","102036920,43239877","1,1195608917400825E-05","4,040169499873676E-06","7,155439417527149E-06",,,,
anon_S111,ALBACETE,0,0,11,7,0,0,"31120661,171858236","31120679,171858236","4,642973349847263E-06","2,6854673760217066E-12","4,642970664379887E-06",,,,
anon_S112,ALICANTE,0,0,186,201,"150507,2692",0,"422127683,9046454","422278578,1738454","6,297834020230714E-05","2,2512313175846502E-08","6,29558278891313E-05",,,,
anon_S113,ALICANTE,0,19200,90,147,"497050,2731",0,"210336312,9334325","210814400,20653248","3,1380628131968085E-05","7,705609566891464E-08","3,130357203629917E-05",,,,
anon_S114,ALICANTE,0,71500,287,657,"10810910,72",0,"670307114,8411562","681047469,5611563","0,0001000048827122867","1,6237163356795477E-06","9,838116637660716E-05",,,,
anon_S115,ALICANTE,0,0,412,624,0,0,"934901192,105274","934902228,105274","0,00013948036951125087","1,5456356675324934E-10","0,00013948021494768412",,,,
anon_S116,ALICANTE,0,5600,273,284,"121577,4261",0,"615824393,8363987","615940928,2624987","9,187646216699953E-05","1,9057035227022533E-08","9,185740513177252E-05",,,,
anon_S117,ALICANTE,0,0,253,150,0,0,"565868316,961528","565868719,961528","8,442338357358299E-05","6,012463069648599E-11","8,442332344895229E-05",,,,
anon_S118,ALICANTE,0,90600,184,184,"4651639,783",0,"419738315,25219685","424299723,03519684","6,262186400422717E-05","7,07562137695174E-07","6,191430186653199E-05",,,,
anon_S119,ALICANTE,0,9600,41,23,0,0,"97331291,55741562","97321755,55741562","1,452111156352759E-05","1,441797595659654E-09","1,451966976593193E-05",,,,
anon_S120,ALICANTE,0,0,236,222,0,0,"532122461,878358","532122919,878358","7,938875063459359E-05","6,833022545655231E-11","7,938868230436814E-05",,,,
anon_S121,ALICANTE,0,4800,470,424,"58822,44542",0,"1052195046,4462126","1052249962,8916327","0,00015697974835794158","9,625378299571947E-09","0,000156970122979642",,,,
anon_S122,ALICANTE,0,45525,634,1676,"15340896,7",0,"1477745520,8980937","1493043202,5980937","0,00022046874369077964","2,295885385483392E-06","0,00021817285830529626",,,,
anon_S123,ALICANTE,0,3750,144,100,0,0,"325681618,0577979","325678112,0577979","4,858929779245434E-05","5,958753722128165E-10","4,858870191708213E-05",,,,
anon_S124,ALICANTE,0,166800,758,1108,"5439594,739",0,"1715813184,9366846","1721087845,6756847","0,00025598668508307587","8,367111806004382E-07","0,0002551499739024754",,,,
anon_S125,ALICANTE,0,36000,451,792,"1305272,437",0,"1028629101,3442714","1029899616,7812715","0,00015346388298258704","2,0029341154827915E-07","0,00015326358957103874",,,,
anon_S126,ALICANTE,0,15600,168,98,"1382938,815",0,"378811147,0458483","380178751,8608483","5,651583205916595E-05","2,0869137200580993E-07","5,630714068716014E-05",,,,
anon_S127,ALICANTE,0,0,319,483,0,0,"725393738,3808408","725394540,3808408","0,00010822340106623182","1,1965249086496715E-10","0,00010822328141374095",,,,
anon_S128,ALICANTE,0,72050,291,374,"5154682,715",0,"662386526,3178422","667469824,0328423","9,882318926349494E-05","7,798892236179397E-07","9,8043300039877E-05",,,,
anon_S129,ALICANTE,0,4900,206,323,"7842736,489",0,"476178012,03457373","484016377,52357376","7,104225091653996E-05","1,1708884656849414E-06","6,987136245085502E-05",,,,
anon_S130,ALICANTE,0,71700,88,416,"11026688,49",0,"224964755,83736363","235920248,32736364","3,3563084030884936E-05","1,6558729828815181E-06","3,190721104800342E-05",,,,
anon_S131,ALICANTE,0,158950,253,440,"20604062,61",0,"592030277,89868","612476083,50868","8,832655538410944E-05","3,097791890054105E-06","8,522876349405534E-05",,,,
anon_S132,ALICANTE,0,0,284,481,0,0,"648923805,1792378","648924570,1792378","9,681465046292828E-05","1,1413236348092254E-10","9,68145363305648E-05",,,,
anon_S133,ALICANTE,0,24600,218,471,"8504723,538",0,"509660329,13506556","518141141,67306554","7,603756593026133E-05","1,2726150215475067E-06","7,476495090871382E-05",,,,
anon_S134,ALICANTE,0,4800,340,737,"67719,0798",0,"783084686,1108484","783148682,1906484","0,00011683046540071566","1,0979992850332786E-08","0,00011681948540786533",,,,
anon_S135,ALICANTE,0,9900,330,526,"2559876,489",0,"752972725,3321408","755523557,8211408","0,00011233798271742319","3,8351942694172103E-07","0,00011195446329048146",,,,
