Cod_Cli-Cod_cli,PROVINCIA,TOTAL_VOL,Uds_AH,Uds_DNT,Uds_VH,Resto_Farmacos,MUESTRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1982,"A CORUNA",0,0,95,133,"12668311,93",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1983,"A CORUNA",0,54000,135,164,"15960021,05",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1984,"A CORUNA",0,0,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1985,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1986,"A CORUNA",0,24600,16,18,"2187659,043",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1987,"A CORUNA",0,0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1988,"A CORUNA",0,0,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1989,"A CORUNA",0,369200,384,248,"23135178,99",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1990,"A CORUNA",0,0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1991,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1992,"A CORUNA",0,0,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1993,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1994,"A CORUNA",0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1995,"A CORUNA",0,24000,37,32,"125090,7972",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1996,"A CORUNA",0,171900,96,77,"5453687,503",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1997,"A CORUNA",0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anon_S1998,"A CORUNA",0,25725,286,250,"8085069,935",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
