Cod_Cli;PROVINCIA;Uds_AH;Uds_DNT;Uds_VH;Resto_Farmacos
anon_S127;ALICANTE;0;319;483;0
anon_S128;ALICANTE;72050;291;374;5154682,715
anon_S129;ALICANTE;4900;206;323;7842736,489
anon_S130;ALICANTE;71700;88;416;11026688,49
anon_S131;ALICANTE;158950;253;440;20604062,61
anon_S132;ALICANTE;0;284;481;0
anon_S133;ALICANTE;24600;218;471;8504723,538
anon_S134;ALICANTE;4800;340;737;67719,0798
anon_S135;ALICANTE;9900;330;526;2559876,489
anon_S136;ALICANTE;40500;445;486;107582,2069
anon_S137;ALICANTE;28400;414;497;1690217,579
anon_S138;ALICANTE;0;500;689;0
anon_S139;ALICANTE;4800;241;711;77508,75338
anon_S140;ALICANTE;4800;117;220;57425,34011
anon_S141;ALICANTE;51750;554;426;7720871,609
anon_S142;ALICANTE;30000;170;326;15815074,81
anon_S143;ALICANTE;118900;131;325;17923204,6
anon_S144;ALICANTE;7200;85;43;0
anon_S145;ALICANTE;19200;3;8;3583030,287
anon_S146;ALICANTE;50350;38;31;688882,9771
anon_S147;ALICANTE;100500;82;215;19383129,9
anon_S148;ALICANTE;38850;213;254;1606448,877
anon_S149;ALICANTE;54300;524;570;2347921,414
anon_S150;ALICANTE;196600;297;242;4809998,109
anon_S151;ALICANTE;308700;220;136;2474576,063
anon_S152;ALICANTE;147400;789;1164;4294807,981
anon_S153;ALICANTE;0;170;304;0
anon_S154;ALICANTE;52300;606;947;8479411,298
anon_S155;ALICANTE;31300;197;370;1930342,551
anon_S156;ALICANTE;136500;664;598;2196078,565
anon_S157;ALICANTE;81700;889;1589;41784277,98
anon_S158;ALICANTE;3000;633;923;744335,3115
anon_S159;ALICANTE;39600;77;33;694680,5963
anon_S160;ALICANTE;0;4;50;771271,2031
anon_S161;ALICANTE;7300;383;712;314157,9028
anon_S162;ALICANTE;28800;356;336;3347046,98
anon_S163;ALICANTE;42600;181;158;553812,8907
anon_S164;ALICANTE;0;753;1143;23284674,84
anon_S165;ALICANTE;58500;333;397;9625593,1
anon_S166;ALICANTE;66300;141;150;0
anon_S167;ALICANTE;186600;185;208;11101922,04
anon_S168;ALICANTE;0;220;357;0
anon_S169;ALICANTE;30000;30;14;1156345,675
anon_S170;ALICANTE;53000;61;53;7447885,291
anon_S171;ALICANTE;1065000;335;297;13266137,3
anon_S172;ALICANTE;279100;366;270;6987664,109
anon_S173;ALICANTE;45000;30;19;652769,1233
anon_S174;ALICANTE;0;44;36;664759,4584
anon_S175;ALICANTE;191550;310;485;12212525,95
anon_S176;ALICANTE;180500;404;411;5730771,141
anon_S177;ALICANTE;73100;366;285;810687,0883
anon_S178;ALICANTE;18060;15;4;179387,484
anon_S179;ALICANTE;36900;52;30;714314,7413
anon_S180;ALICANTE;238650;225;263;6613077,46
anon_S181;ALICANTE;232800;163;80;4824290,802
anon_S182;ALICANTE;5000;101;76;0
anon_S183;ALICANTE;14400;7;40;1310867,463
anon_S184;ALICANTE;2400;139;290;0
anon_S185;ALICANTE;709650;776;1149;47363167,95
anon_S186;ALICANTE;67850;765;1054;16999296,99
anon_S187;ALICANTE;76200;283;277;3682181,615
anon_S188;ALICANTE;20450;260;180;4452342,651
anon_S189;ALICANTE;115250;207;253;0
anon_S190;ALICANTE;126225;527;361;21130955,56
anon_S191;ALICANTE;0;230;248;1388319,25
anon_S192;ALICANTE;40700;359;349;7726964,648
anon_S193;ALICANTE;120000;471;279;204506,3509
anon_S194;ALICANTE;0;296;165;7083278,95
