Cod_Cli;TOTAL_VOL
anon_S7208;214989543,7
anon_S7218;194462295,9
anon_S7219;223079701,4
anon_S7230;21109551,55
anon_S7231;101958233
anon_S7276;177969215,3
anon_S7284;241056567,5
anon_S7324;37131484,98
anon_S7363;32461140,48
anon_S7405;236180618,1
anon_S7434;40918081,38
anon_S7445;198033747,7
anon_S7465;160410132,3
anon_S7485;196880708
anon_S7498;120969196,7
anon_S7529;164707884,6
anon_S7536;20269755,48
anon_S7544;44007828,54
anon_S7611;336694202,3
anon_S7628;5383497,619
anon_S7661;236646596,8
anon_S7684;10753048,83
anon_S7726;262933170,9
anon_S7746;73481610,29
anon_S7769;272243493,5
anon_S7799;117872395,7
anon_S7839;15637635,19
anon_S7847;94570908,56
anon_S7870;116610680,6
anon_S7871;42705118,86
anon_S7874;52449743,67
anon_S7887;131142223,3
anon_S7896;346208196,3
anon_S7899;170301183,4
anon_S7913;92054096,93
anon_S8011;51727979,32
anon_S8028;136569188
anon_S8062;2541181,937
anon_S8081;191775509
anon_S8099;29575163,25
anon_S8108;290035228,3
anon_S8109;84023186,98
anon_S8119;136181903,7
anon_S8127;200992457,6
anon_S8191;20065689,92
anon_S8194;345584813,4
anon_S8265;191834968,7
anon_S8316;107231732,6
anon_S8355;27819897,24
anon_S8361;124822524,5
anon_S8377;296447219,9
anon_S8379;187399980,9
anon_S8410;6844511,374
anon_S8434;53210695,79
anon_S8455;35893417,05
anon_S8471;190820192
anon_S8501;121160412,1
anon_S8508;30497227,95
anon_S8509;39128309,15
anon_S8522;142819759,4
anon_S8579;240704899,5
anon_S8593;247270987,1
anon_S8599;241558967,2
anon_S8647;141645738,4
anon_S8695;234024542,8
anon_S8724;25964498,35
anon_S8751;110452109,1
anon_S8755;43782819,28
anon_S8756;49178698,45
anon_S8794;76849065,61
anon_S8828;4348832,653
anon_S8883;98675016,51
anon_S8932;44814012,56
anon_S8942;268839144,8
anon_S8945;269317364,1
anon_S8978;326325520,6
anon_S9024;264448582,2
anon_S9025;253416057
anon_S9061;301554455,8
anon_S9068;64666324,86
anon_S9106;252234981,6
anon_S9110;230756000,2
anon_S9113;212101732,5
anon_S9190;96340422,26
anon_S9281;156382833,8
anon_S9292;95771657,3
anon_S9303;68009032,06
anon_S9339;44041199,02
anon_S9364;168959769,2
anon_S9372;242517058,1
anon_S9410;153344967,6
anon_S9462;36528316,13
anon_S9556;239248087,6
anon_S9565;121072898,8
anon_S9616;257034406,9
anon_S9693;137646626,5
anon_S9803;268889952,4
anon_S9890;41632336,08
anon_S9898;271394997,8
anon_S9996;74891013,01
anon_S10069;14985570,71
anon_S10181;65729189,74
anon_S10199;77156074,29
anon_S10217;41015250,9
anon_S10361;288057061,2
anon_S10377;129852587
anon_S10416;122743131,9
anon_S10487;304886200,9
anon_S10512;115287818,8
anon_S10537;134520393,7
anon_S10751;111022024,8
anon_S10757;59433792,79
anon_S10796;111325237,1
anon_S10800;239638773,5
anon_S10801;260694643
anon_S10804;131071971,2
anon_S10837;150121596,2
anon_S10843;191136848,2
anon_S10849;187658430,4
anon_S10860;230533650,2
anon_S10906;216920096,5
anon_S10966;266000761,8
anon_S10968;67282627,32
anon_S10977;134492202,3
anon_S10980;321077496
anon_S10983;339862659,3
anon_S10987;110819080,8
anon_S10997;47132250,87
anon_S11003;127539725,9
anon_S11220;168915351,7
anon_S11231;14829807,82
anon_S11320;271065484
anon_S11402;178956890,4
anon_S11407;198001849,1
anon_S11432;200585990,9
anon_S11463;22918902,43
anon_S11468;256506578,9
anon_S11524;95113820,71
anon_S11531;242297221,7
anon_S11592;152320136,8
anon_S11637;187958169,2
anon_S11655;226012613,8
anon_S11713;223609035,4
anon_S11714;317820339,9
anon_S11717;95308990,5
anon_S11762;7291732,139
anon_S11772;211980837,1
anon_S11839;330120736,1
anon_S11878;6649915,677
anon_S11889;167965611,9
anon_S11904;184520081,8
anon_S11919;185768305,5
anon_S11927;89603760,61
anon_S11934;17149987,78
anon_S11941;46728437,8
anon_S11955;12721802,38
anon_S11982;286844499,1
anon_S11999;15311472,59
anon_S12076;188115018,1
anon_S12102;11915049,81
anon_S12107;47892601,05
anon_S12111;231746177,2
anon_S12123;145914624,7
anon_S12172;282115600,8
anon_S12178;73796223,59
anon_S12231;206584462,3
anon_S12232;58665819,37
anon_S12272;169864397,9
anon_S12279;345097514,7
anon_S12292;257758452,1
anon_S12302;143813624,5
anon_S12314;281360602,4
anon_S12316;92386080,02
anon_S12343;317688293,6
anon_S12378;47667796,06
anon_S12396;192031099
anon_S12455;143572162,1
anon_S12666;84430773,58
anon_S12688;322614099,6
anon_S12711;26727302,88
anon_S12753;246276786,4
anon_S12780;219192947,9
anon_S12786;174009461,5
anon_S12787;61790225,7
anon_S12807;36727779,4
anon_S12872;58356462,15
anon_S12900;233167596,9
anon_S12917;19216034,83
anon_S13026;285224036
anon_S13057;39249359,04
